"","x"
"ABCB4",0.100531094584476
"AGRO3",0.187091657174592
"BBDC3",0.101554150930916
"BRSR6",0.153276458939703
"EUCA4",0.0588162467409293
"HBSA3",-0.0325857241612955
"MATD3",0.00288481331874954
"OPCT3",0.00802759057028219
"PETR4",0.0901372290465546
"PSSA3",0.275182387051832
"TUPY3",0.0550840958032605
